RawMessage	MessageCategory
|init|battle	init
|title|colress-gpt vs. colress-gpt-test1	title
|j|☆colress-gpt	j
|request|	request
|t:|1695993683	t:
|gametype|singles	gametype
|player|p1|colress-gpt|169|	player
"|request|{""teamPreview"":true,""side"":{""name"":""colress-gpt"",""id"":""p1"",""pokemon"":[{""ident"":""p1: Hypno"",""details"":""Hypno, L70"",""condition"":""264/264"",""active"":true,""stats"":{""atk"":108,""def"":168,""spa"":231,""spd"":231,""spe"":163},""moves"":[""seismictoss"",""thunderwave"",""hypnosis"",""psychic""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Fearow"",""details"":""Fearow, L76"",""condition"":""255/255"",""active"":false,""stats"":{""atk"":212,""def"":174,""spa"":168,""spd"":168,""spe"":227},""moves"":[""drillpeck"",""hyperbeam"",""doubleedge"",""agility""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Arcanine"",""details"":""Arcanine, L76"",""condition"":""293/293"",""active"":false,""stats"":{""atk"":242,""def"":197,""spa"":197,""spd"":197,""spe"":220},""moves"":[""flamethrower"",""bodyslam"",""hyperbeam"",""fireblast""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Sandshrew"",""details"":""Sandshrew, L88"",""condition"":""267/267"",""active"":false,""stats"":{""atk"":218,""def"":236,""spa"":139,""spd"":139,""spe"":157},""moves"":[""earthquake"",""rockslide"",""swordsdance"",""bodyslam""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Gyarados"",""details"":""Gyarados, L73"",""condition"":""289/289"",""active"":false,""stats"":{""atk"":255,""def"":188,""spa"":218,""spd"":218,""spe"":191},""moves"":[""hydropump"",""blizzard"",""bodyslam"",""hyperbeam""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""},{""ident"":""p1: Raichu"",""details"":""Raichu, L75"",""condition"":""244/244"",""active"":false,""stats"":{""atk"":141,""def"":157,""spa"":209,""spd"":209,""spe"":224},""moves"":[""thunder"",""thunderbolt"",""surf"",""thunderwave""],""baseAbility"":""noability"",""item"":"""",""pokeball"":""pokeball""}]},""rqid"":2}"	request
|teamsize|p1|6	teamsize
|gen|1	gen
|tier|[Gen 1] Random Battle	tier
|rule|HP Percentage Mod: HP is shown in percentages	rule
|clearpoke	clearpoke
|poke|p1|Hypno, L70|	poke
|teampreview	teampreview
